t_ns,signal,voltage,value
42705000,SWCLK,3.300,
42705000,SWDIO_SAMPLE_T,3.420,7.000
42710000,SWCLK,0.000,
42715000,SWCLK,3.300,
42715000,SWDIO_SAMPLE_T,3.420,8.000
42720000,SWCLK,0.000,
42725000,SWCLK,3.300,
42725000,SWDIO_SAMPLE_T,3.420,1.000
42730000,SWCLK,0.000,
42735000,SWCLK,3.300,
42735000,SWDIO_SAMPLE_T,3.420,2.000
42740000,SWCLK,0.000,
42745000,SWCLK,3.300,
42745000,SWDIO_SAMPLE_T,3.420,3.000
42750000,SWCLK,0.000,
42755000,SWCLK,3.300,
42755000,SWDIO_SAMPLE_T,3.420,4.000
42760000,SWCLK,0.000,
42765000,SWCLK,3.300,
42765000,SWDIO_SAMPLE_T,3.420,5.000
42770000,SWCLK,0.000,
42775000,SWCLK,3.300,
42775000,SWDIO_SAMPLE_T,3.420,6.000
42780000,SWCLK,0.000,
42785000,SWCLK,3.300,
42785000,SWDIO_SAMPLE_T,3.420,7.000
42790000,SWCLK,0.000,
42795000,SWCLK,3.300,
42795000,SWDIO_SAMPLE_T,3.420,8.000
42800000,SWCLK,0.000,
42805000,SWCLK,3.300,
42805000,SWDIO_SAMPLE_T,3.420,1.000
42810000,SWCLK,0.000,
42815000,SWCLK,3.300,
42815000,SWDIO_SAMPLE_T,3.420,2.000
42820000,SWCLK,0.000,
42825000,SWCLK,3.300,
42825000,SWDIO_SAMPLE_T,3.420,3.000
42830000,SWCLK,0.000,
42835000,SWCLK,3.300,
42835000,SWDIO_SAMPLE_T,3.420,4.000
42840000,SWCLK,0.000,
42845000,SWCLK,3.300,
42845000,SWDIO_SAMPLE_T,3.420,5.000
42850000,SWCLK,0.000,
42855000,SWCLK,3.300,
42855000,SWDIO_SAMPLE_T,3.420,6.000
42860000,SWCLK,0.000,
42865000,SWCLK,3.300,
42865000,SWDIO_SAMPLE_T,3.420,7.000
42870000,SWCLK,0.000,
42875000,SWCLK,3.300,
42875000,SWDIO_SAMPLE_T,3.420,8.000
42880000,SWCLK,0.000,
42885000,SWCLK,3.300,
42885000,SWDIO_SAMPLE_T,3.420,1.000
42890000,SWCLK,0.000,
42895000,SWCLK,3.300,
42895000,SWDIO_SAMPLE_T,3.420,2.000
42900000,SWCLK,0.000,
42905000,SWCLK,3.300,
